EXCHANGE%3DINDEXEURO
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=120
64,3736.4,3736.4,3735.97,3736.16,0
65,3735.82,3736.12,3735.7,3736.12,0
66,3736.64,3736.64,3736.19,3736.19,0
67,3737.96,3738.06,3737.29,3737.29,0
68,3738.37,3738.37,3737.9,3738.05,0
69,3738.09,3738.62,3738.09,3738.62,0
70,3738.53,3738.53,3738.23,3738.38,0
71,3741.11,3741.11,3738.52,3738.52,0
72,3742.42,3742.42,3741.7,3741.7,0
73,3742.46,3742.66,3742.38,3742.38,0
74,3742.11,3742.31,3740.81,3740.81,0
75,3741.03,3742.2,3741.03,3741.99,0
76,3741.84,3742.14,3741.23,3741.23,0
77,3742.02,3742.25,3742.02,3742.02,0
78,3740.06,3741.99,3740.06,3741.99,0
79,3738.52,3739.88,3738.4,3739.88,0
80,3737.72,3738.88,3736.98,3737.64,0
81,3735.98,3737.67,3735.98,3737.67,0
82,3735.66,3735.94,3735.66,3735.94,0
83,3737.9,3738.64,3734.62,3735.15,0
84,3736.49,3737.92,3736.49,3737.92,0
85,3736.8,3736.8,3736.37,3736.75,0
86,3736.42,3736.42,3736.31,3736.34,0
87,3736.24,3736.68,3736.11,3736.68,0
88,3736.59,3736.88,3736.11,3736.11,0
89,3740.34,3740.34,3738.84,3738.84,0
90,3739.41,3740.03,3739.41,3740.03,0
91,3740.99,3740.99,3739.75,3739.75,0
92,3741.56,3741.56,3741.08,3741.33,0
93,3741.96,3742.88,3741.63,3742.88,0
94,3740.25,3741.69,3740.25,3741.6,0
95,3742.16,3742.3,3740.98,3740.98,0
96,3742.51,3742.56,3742.48,3742.48,0
97,3743.33,3743.39,3743.03,3743.03,0
98,3743.94,3743.94,3743.28,3743.28,0
99,3743.42,3743.85,3743.42,3743.85,0
100,3742.63,3742.98,3742.63,3742.81,0
101,3741.89,3742.84,3741.89,3742.84,0
102,3741.42,3742.08,3741.42,3741.85,0
103,3741.83,3742.2,3741.68,3741.77,0
104,3743.83,3743.83,3742,3742,0
105,3742.29,3744.02,3742.29,3744.02,0
106,3741.7,3742.24,3741.7,3742.24,0
107,3742.16,3742.16,3741.09,3741.09,0
108,3742.14,3742.38,3742.08,3742.38,0
109,3743.9,3743.9,3741.86,3741.99,0
110,3743.49,3744.46,3743.49,3744.1,0
111,3746.16,3746.16,3743.37,3743.37,0
112,3746.36,3746.36,3746.09,3746.09,0
113,3745.42,3746.67,3745.42,3746.54,0
114,3745.28,3745.54,3745.06,3745.54,0
115,3745.75,3745.75,3745.22,3745.22,0
116,3744.38,3745.99,3744.38,3745.99,0
117,3743.87,3744.51,3743.87,3744.38,0
118,3743.06,3743.22,3743.06,3743.15,0
119,3743.58,3743.58,3743.07,3743.29,0
120,3744.89,3745.14,3744.57,3744.57,0
121,3746.06,3746.06,3745.22,3745.22,0
122,3745.79,3746.11,3745.79,3746.06,0
123,3746.78,3746.78,3745.86,3745.88,0
124,3746.54,3746.76,3746.31,3746.76,0
125,3750.69,3750.69,3746.99,3746.99,0
126,3750.35,3750.48,3750.35,3750.4,0
127,3749.35,3750.12,3749.35,3750.12,0
128,3748.69,3749.18,3748.69,3749.18,0
129,3750.4,3750.4,3748.83,3748.83,0
130,3749.76,3750.66,3749.76,3750.59,0
131,3749.75,3749.79,3749.75,3749.77,0
132,3749.64,3749.64,3749.45,3749.45,0
133,3749.35,3749.56,3749.35,3749.44,0
134,3748.96,3749.35,3748.96,3749.35,0
135,3748.96,3749.02,3748.96,3748.98,0
136,3750.81,3750.81,3749.15,3749.15,0
137,3750.03,3750.36,3750.03,3750.35,0
138,3749.89,3750,3749.69,3750,0
139,3750.42,3750.42,3749.93,3749.93,0
140,3749.83,3751.67,3749.83,3750.39,0
141,3748.35,3750.03,3748.35,3750.03,0
142,3746.74,3748.41,3746.74,3748.41,0
143,3747.56,3747.56,3746.09,3746.09,0
144,3746.89,3747.38,3745.46,3747.38,0
145,3744.82,3747.09,3744.82,3747.09,0
146,3742.62,3745.2,3742.62,3745.2,0
147,3741.38,3741.38,3740.69,3740.78,0
148,3742.13,3742.13,3741.47,3741.47,0
149,3742.32,3742.34,3742.22,3742.34,0
150,3737.72,3738.41,3737.1,3737.1,0
151,3740.2,3740.2,3738.25,3738.31,0
152,3739.35,3739.35,3738.71,3738.71,0
153,3737.82,3739.51,3737.82,3739.25,0
154,3734.79,3734.79,3734.31,3734.31,0
155,3734.64,3735.03,3734.64,3734.86,0
156,3735.01,3735.01,3734.55,3734.73,0
157,3735.35,3735.35,3734.6,3734.78,0
158,3735.7,3735.7,3735.18,3735.18,0
159,3733.94,3736.38,3733.88,3734.81,0
160,3734.96,3735.22,3734.94,3735.22,0
